PopularWords,Good morning,Good night,Happy New Year,Happy birthday,I love you,I miss you,Merry Christmas,Thank you,baby,bear,beautiful,black,blue,cat,dog,family,father,friend,husband,light,love,moon,mother,my love,peace,red,sorry,star,sun,water,white,wife,wolf
Afrikaans,Goeie more,Goeie nag,Gelukkige Nuwe Jaar,Gelukkige verjaarsdag,Ek het jou lief,Ek mis jou,Geseënde Kersfees,Dankie,baba,dra,pragtige,swart,blou,kat,hond,gesin,pa,vriend,man,lig,lief,maan,moeder,my liefde,vrede,rooi,jammer,ster,son,water,wit,vrou,wolf
Albanian,Miremengjes,Naten e mire,Gëzuar Vitin e Ri,Gëzuar ditëlindjen,Unë të dua,më Mungon,Gëzuar Krishtlindjet,Faleminderit,bebe,duroj,e bukur,e zezë,blu,Mace,qen,familje,baba,mik,burri,dritë,dashuri,hënë,nënë,Dashuria ime,paqe,i kuq,Më vjen keq,yll,diell,ujë,e bardhë,grua,ujk
Amharic,እንዴት አደርክ,መልካም ሌሊት,መልካም አዲስ ዓመት,መልካም ልደት,እወድሃለሁ,ናፈኩሽ,መልካም ገና,አመሰግናለሁ,ሕፃን,ድብ,ቆንጆ,ጥቁር,ሰማያዊ,ድመት,ውሻ,ቤተሰብ,አባት,ጓደኛ,ባል,ብርሃን,ፍቅር,ጨረቃ,እናት,ፍቅሬ,ሰላም,ቀይ,አዝናለሁ,ኮከብ,ፀሐይ,ውሃ,ነጭ,ሚስት,ተኩላ
Arabic,صباح الخير,تصبح على خير,سنة جديدة سعيدة,عيد مولد سعيد,أحبك,أنا مشتاق لك,عيد ميلاد سعيد,شكرا,طفل,يتحمل,جميلة,أسود,أزرق,قط,الكلب,أسرة,الآب,صديق,الزوج,ضوء,حب,القمر,أم,حبيبتى,سلام,أحمر,معذرة,نجمة,شمس,ماء,أبيض,زوجة,الذئب
Armenian,Բարի առավոտ,Բարի գիշեր,Շնորհավոր Նոր Տարի,Ծնունդդ շնորհավոր,Ես սիրում եմ քեզ,Կարոտել եմ քեզ,Շնորհավոր Սուրբ Ծնունդ,Շնորհակալություն,երեխա,կրել,գեղեցիկ,Սեվ,Կապույտ,կատու,շուն,ընտանիք,հայր,ընկեր,ամուսին,թեթեւ,Սեր,լուսին,մայր,Իմ սեր,խաղաղություն,կարմիր,կներեք,աստղ,արեւ,ջուր,ճերմակ,կին,գայլ
Azerbaijani,Sabahınız xeyir,Salam,Yeni iliniz mübarək,Ad günün mübarək,Mən səni sevirəm,sənin üçün darıxıram,Milad bayramınız mübarək,Çox sağ ol,körpə,ayı,gözəl,qara,mavi,pişik,it,ailə,ata,dost,ər,yüngül,sevgi,ay,ana,my love,sülh,qırmızı,üzr,ulduz,günəş,su,ağ,arvad,canavar
Basque,Egun on,Good night,Urte berri on,Zorionak,maite zaitut,Faltan botatzen zaitut,Eguberri on,Eskerrik asko,haurra,bear,eder,beltza,urdinak,katu,txakur,familia,aita,Lagun,senarra,argia,maite,ilargia,ama,nire bihotza,bakea,gorria,Sentitzen,izar,eguzkia,ur,Zuri-,emaztea,otso
Belarusian,Добрай раніцы,Дабранач,З Новым годам,З Днём Нараджэння,я цябе кахаю,я сумую па табе,З Калядамі,Дзякуй,дзіця,несці,прыгожы,чорны,сіні,кот,сабака,сям'я,бацька,сябар,муж,святло,каханне,месяц,маці,маё каханне,свет,чырвоны,прабачце,зорка,сонца,вада,белы,жонка,воўк
Bengali,সুপ্রভাত,শুভ রাত্রি,শুভ নব বর্ষ,শুভ জন্মদিন,আমি তোমায় ভালোবাসি,আমার আপনাকে মনে পরছে,শুভ বড়দিন,ধন্যবাদ,বাচ্চা,ভালুক,সুন্দর,কালো,নীল,বিড়াল,কুকুর,পরিবার,পিতা,বন্ধু,স্বামী,আলো,ভালবাসা,চাঁদ,মা,আমার ভালবাসা,শান্তি,লাল,দুঃখিত,তারকা,সূর্য,পানি,সাদা,স্ত্রী,নেকড়ে
