PopularWords,Afrikaans,Albanian,Amharic,Arabic,Armenian,Azerbaijani,Basque,Belarusian,Bengali,Bosnian,Bulgarian,Catalan,Cebuano,Chichewa,Chinese Simplified,Chinese Traditional,Corsican,Croatian,Czech,Danish,Dutch,Esperanto,Estonian,Filipino,Finnish,French,Frisian,Galician,Georgian,German,Greek,Gujarati,Haitian Creole,Hausa,Hawaiian,Hebrew,Hindi,Hmong,Hungarian,Icelandic,Igbo,Indonesian,Irish,Italian,Japanese,Javanese,Kannada,Kazakh,Khmer,Kinyarwanda,Korean,Kurdish (Kurmanji),Kyrgyz,Lao,Latin,Latvian,Lithuanian,Luxembourgish,Macedonian,Malagasy,Malay,Malayalam,Maltese,Maori,Marathi,Mongolian,Myanmar (Burmese),Nepali,Norwegian,Odia,Pashto,Persian,Polish,Portuguese,Punjabi,Romanian,Russian,Samoan,Scots Gaelic,Serbian,Sesotho,Shona,Sindhi,Sinhala,Slovak,Slovenian,Somali,Spanish,Sundanese,Swahili,Swedish,Tajik,Tamil,Tatar,Telugu,Thai,Turkish,Turkmen,Ukrainian,Urdu,Uyghur,Uzbek,Vietnamese,Welsh,Xhosa,Yiddish,Yoruba,Zulu
Good morning,Goeie more,Miremengjes,እንዴት አደርክ,صباح الخير,Բարի առավոտ,Sabahınız xeyir,Egun on,Добрай раніцы,সুপ্রভাত,Dobro jutro,Добро утро,Bon dia,Maayong buntag,M'mawa wabwino,早上好,早上好,Bonghjornu,Dobro jutro,Dobré ráno,God morgen,Goedemorgen,Bonan matenon,Tere hommikust,Magandang umaga,Hyvää huomenta,Bonjour,Goeie moarn,Bos días,დილა მშვიდობისა,Guten Morgen,Καλημέρα,સુપ્રભાત,Bonjou,Barka da safiya,Aloha kakahiaka,בוקר טוב,शुभ प्रभात,Zoo thaum sawv ntxov,Jó reggelt,Góðan daginn,Ụtụtụ ọma,Selamat pagi,Maidin mhaith,Buongiorno,おはようございます,Sugeng enjang,ಶುಭೋದಯ,Қайырлы таң,អរុណ​សួស្តី,Mwaramutse,좋은 아침,Beyanî baş,Куттуу таң,ສະ​ບາຍ​ດີ​ຕອນ​ເຊົ້າ,Bonum mane,Labrīt,Labas rytas,Gudde Moien,Добро утро,Salama,Selamat Pagi,സുപ്രഭാതം,Bongu,ata pai,शुभ प्रभात,өглөөний мэнд,မင်္ဂလာနံနက်ခင်းပါ,शुभ - प्रभात,God morgen,ଶୁଭ ସକାଳ,سهار مو پخير,صبح بخیر,Dzień dobry,Bom Dia,ਸ਼ੁਭ ਸਵੇਰ,Buna dimineata,Доброе утро,oa mai le ataeao,Madainn mhath,Добро јутро,Khotsong,Mangwanani akanaka,صبح جو سلام,සුභ උදෑසනක්,Dobré ráno,Dobro jutro,Subax wanaagsan,Buenos días,Wilujeng énjing,Habari za asubuhi,God morgon,Субҳ ба хайр,காலை வணக்கம்,Хәерле иртә,శుభోదయం,สวัสดีตอนเช้า,Günaydın,Ertiriňiz haýyrly bolsun!,Доброго ранку,صبح بخیر,خەيرلىك ئەتىگەن!,Xayrli tong,Chào buổi sáng,bore da,Mholo ngalentsasa,גוט מארגן,E kaaro,Sawubona
Good night,Goeie nag,Naten e mire,መልካም ሌሊት,تصبح على خير,Բարի գիշեր,Salam,Good night,Дабранач,শুভ রাত্রি,Laku noc,Лека нощ,Bona nit,Maayong gabii,Usiku wabwino,晚安,晚安,Bona notte,Laku noć,Dobrou noc,Godnat,Goede nacht,Bonan nokton,Head ööd,Magandang gabi,Hyvää yötä,Bonne nuit,Lekker sliepe,Boas noites,ღამე მშვიდობისა,Gute Nacht,ΚΑΛΗΝΥΧΤΑ,શુભ રાત્રી,Bòn nwi,Good dare,Aloha pō,לילה טוב,शुभ रात्रि,Zoo hmo ntuj,Jó éjszakát,Góða nótt,Ka chifoo,Selamat malam,Oíche mhaith,Buona notte,おやすみ,Sugeng dalu,ಶುಭ ರಾತ್ರಿ,Қайырлы түн,រាត្រី​សួស្តី,Ijoro ryiza,안녕히 주무세요,Şev baş,Куттуу түн,ໃນຕອນກາງຄືນທີ່ດີ,bonum nocte,Ar labunakti,Labos nakties,Gutt Nuecht,Добра ноќ,Tafandria mandry,Selamat Malam,ശുഭ രാത്രി,Il-lejl it-tajjeb,po pai,शुभ रात्री,Сайн шөнө,ကောင်းသောညပါ,शुभ रात्री,God natt,ଶୁଭରାତ୍ରୀ,ښه شپه,شب بخیر,Dobranoc,Boa noite,ਸ਼ੁਭ ਰਾਤ,Noapte buna,Доброй ночи,manuia le po,Oidhche mhath,Лаку ноћ,Robala hantle,Manheru akanaka,رات جو سلام,සුභ රාත්රියක්,Dobrú noc,Lahko noč,habeen wanaagsan,Buenas noches,Wilujeng wengi,Usiku mwema,Godnatt,Шаби хуш,இனிய இரவு,Әйбәт төн,శుభ రాత్రి,ราตรีสวัสดิ์,İyi geceler,Gijäň rahat bolsun!,Надобраніч,شب بخیر,خەيرلىك كەچ!,Xayrli tun,Chúc ngủ ngon,Nos da,Busuku benzolo,א גוטע נאכט,Kasun layọ o,Ulale kahle
Happy New Year,Gelukkige Nuwe Jaar,Gëzuar Vitin e Ri,መልካም አዲስ ዓመት,سنة جديدة سعيدة,Շնորհավոր Նոր Տարի,Yeni iliniz mübarək,Urte berri on,З Новым годам,শুভ নব বর্ষ,Sretna Nova godina,Честита Нова Година,Bon any nou,Malipayong Bag-ong Tuig,Chaka chabwino chatsopano,新年快乐,新年快樂,Bon annu,Sretna Nova godina,Šťastný nový rok,Godt nytår,Gelukkig nieuwjaar,Feliĉan Novjaron,Head uut aastat,Maligayang Bagong Taon,Hyvää uutta vuotta,Bonne année,Lokkich nijjier,Feliz aninovo,გილოცავთ ახალ წელს,Frohes neues Jahr,Ευτυχισμένο το νέο έτος,સાલ મુબારક,Happy New Year,Barka da sabon shekara,Hauʻoli makahiki hou,שנה טובה,हैप्पी न्यू ईयर,Nyob Zoo Xyoo Tshiab,Boldog új évet,Gleðilegt nýtt ár,Ezi afọ ọhụrụ,Selamat Tahun Baru,Athbhliain faoi mhaise daoibh,Felice anno nuovo,明けましておめでとうございます,Happy New Year,ಹೊಸ ವರ್ಷದ ಶುಭಾಶಯ,Жаңа жыл құтты болсын,រីករាយ​ឆ្នាំ​ថ្មី,Umwaka mushya muhire,새해 복 많이 받으세요,Sersala we pîroz be,Жаны жылыңар менен,ສະ​ບາຍ​ດີ​ປີ​ໃຫມ່,New Anno Felix,Laimīgu Jauno gadu,Laimingų Naujųjų metų,Schéint Neit Joer,Среќна Нова година,Tratry ny taona,Selamat tahun Baru,പുതുവത്സരാശംസകൾ,Is-sena it-tajba,Tau Hou hari,नवीन वर्षाच्या शुभेच्छा,Шинэ жилийн мэнд хүргэе,ပျော်ရွှင်ဖွယ်နှစ်သစ်,नयाँ बर्षको शुभकामना,Godt nytt år,ନବବର୍ଷର ଶୁଭେଚ୍ଛା,نوی کال مو مبارک شه,سال نو مبارک,Szczęśliwego Nowego Roku,Feliz Ano Novo,ਨਵਾ ਸਾਲ ਮੁਬਾਰਕ,An Nou Fericit,С новым годом,Manuia le Tausaga Fou,Bliadhna Mhath Ùr,Срећна Нова година,Mahlohonolo a selemo se secha,Goredzva Rakanaka,نئون سال مبارڪ,සුභ නව වසරක්,Šťastný nový rok,Srečno novo leto,Happy New Year,Feliz año nuevo,Wilujeng taun énggal,Heri ya mwaka mpya,Gott nytt år,Соли Нав Муборак,புத்தாண்டு வாழ்த்துக்கள்,Яңа ел белән,నూతన సంవత్సర శుభాకాంక్షలు,สวัสดีปีใหม่,Mutlu Yıllar,Täze ýylyňyz gutly bolsun,Щасливого Нового року,نیا سال مبارک ہو,يېڭى يىلىڭىزغا مۇبارەك بولسۇن,Yangi yilingiz bilan,Chúc mừng năm mới,Blwyddyn Newydd Dda,Nyakhomtsha,א גוט געבענטשט יאר,"E ku odun, eku iyedun",Jabulela unyaka omusha
Happy birthday,Gelukkige verjaarsdag,Gëzuar ditëlindjen,መልካም ልደት,عيد مولد سعيد,Ծնունդդ շնորհավոր,Ad günün mübarək,Zorionak,З Днём Нараджэння,শুভ জন্মদিন,Sretan rođendan,Честит Рожден ден,Per molts anys,malipayon nga adlaw nga natawhan,Tsiku labwino lobadwa,生日快乐,生日快樂,Felice Anniversariu,Sretan rođendan,Všechno nejlepší k narozeninám,Tillykke med fødselsdagen,Fijne verjaardag,Feliĉan naskiĝtagon,Palju õnne sünnipäevaks,Maligayang kaarawan,Hyvää syntymäpäivää,Bon anniversaire,Lokkige jierdei,Feliz Aniversario,გილოცავ დაბადების დღეს,Alles Gute zum Geburtstag,Χαρούμενα γενέθλια,જન્મદિવસ ની શુભકામના,Bòn Fèt,Barka da ranar haihuwa,Hauʻoli Lā Hānau,יום הולדת שמח,जन्मदिन की शुभकामनाएं,Zoo siab hnub yug,Boldog születésnapot,Til hamingju með afmælið,Ezi ncheta ọmụmụ,Selamat ulang tahun,Lá breithe shona duit,Buon compleanno,お誕生日おめでとうございます,Sugeng tanggap warsa,ಜನ್ಮದಿನದ ಶುಭಾಶಯಗಳು,Туған күнің құтты болсын,រីករាយ​ថ្ងៃ​កំណើត,Isabukuru nziza,생일 축하,Rojbûna te pîroz be,Туулган кунуңуз менен куттуктайм,ສຸກ​ສັນ​ວັນ​ເກີດ,Felix natalis,Daudz laimes dzimšanas dienā,Su gimtadieniu,Alles Guddes fir de Gebuertsdag,Среќен роденден,Tratry ny tsingerintaona nahaterahana,Selamat Hari lahir,ജന്മദിനാശംസകൾ,happy birthday,huritau hari,वाढदिवसाच्या शुभेच्छा,Төрсөн өдрийн мэнд,ပျော်ရွင်ဖွယ်ရာမွေးနေ့,जन्मदिनको,Gratulerer med dagen,ଜନ୍ମଦିନର ଅଭିନନ୍ଦନ,کلیزه دی نیکمرغه,تولدت مبارک,Wszystkiego najlepszego,Feliz Aniversário,ਜਨਮਦਿਨ ਮੁਬਾਰਕ,La multi ani,С днем ​​рождения,Manuia le aso fanau,Co-là-breith math,Срећан рођендан,Letsatsi le monate la tsoalo,Bhavhadhe rinofadza,سالگراه مبارڪ,සුබ උපන්දිනයක් වේවා,Šťastné narodeniny,Vse najboljše,Dhalasho Wacan,Feliz cumpleaños,Wilujeung tepang taun,Furaha ya kuzaliwa,Grattis på födelsedagen,Зодрӯз муборак,பிறந்தநாள் வாழ்த்துக்கள்,Туган көн белән,పుట్టినరోజు శుభాకాంక్షలు,สุขสันต์วันเกิด,Doğum günün kutlu olsun,Doglan günüň bilen,З Днем народження,سالگرہ مبارک,تۇغۇلغان كۈنىڭىزگە مۇبارەك,Tug'ilgan kuning bilan,Chúc mừng sinh nhật,Penblwydd hapus,Usuku lokuzalwa olumnandi,מזל דיין געבורסטאָג,O ku ojo ibi,Usuku olumnandi lokuzalwa
I love you,Ek het jou lief,Unë të dua,እወድሃለሁ,أحبك,Ես սիրում եմ քեզ,Mən səni sevirəm,maite zaitut,я цябе кахаю,আমি তোমায় ভালোবাসি,volim te,обичам те,T'estimo,gihigugma TIKA,ndimakukondani,我爱你,我愛你,ti tengu caru,Volim te,Miluji tě,jeg elsker dig,ik hou van je,mi amas vin,Ma armastan sind,Mahal kita,Minä rakastan sinua,je t'aime,ik hâld fan dy,Quérote,მიყვარხარ,ich liebe dich,Σε αγαπώ,હું તને પ્રેમ કરું છુ,Mwen renmen ou,Ina son ka,aloha wau iā 'oe,אני אוהב אותך,मैं तुमसे प्यार करता हूँ,Kuv hlub koj,Szeretlek,ég elska þig,a hụrụ m gị n'anya,Aku cinta kamu,Is breá liom tú,ti amo,わたしは、あなたを愛しています,Aku tresna sampeyan,ನಾನು ನಿನ್ನನ್ನು ಪ್ರೀತಿಸುತ್ತೇನೆ,Мен сені жақсы көремін,ខ្ញុំ​ស្រលាញ់​អ្នក,Ndagukunda,사랑해,ez ji te hez dikim,Мен сени сүйөм,ຂ້ອຍ​ຮັກ​ເຈົ້າ,te amo,Es mīlu Tevi,Aš tave myliu,Ech hunn dech gär,Те сакам,tiako ianao,saya sayang awak,ഞാൻ നിന്നെ സ്നേഹിക്കുന്നു,I love you,aroha ana ahau ki a koe,मी तुझ्यावर प्रेम करतो,Би чамд хайртай,မင်းကိုချစ်တယ်,म तिमीलाई माया गर्छु,Jeg elsker deg,ମୁଁ ତୁମକୁ ଭଲପାଏ,زه ستا سره مینه لرم,دوستت دارم,kocham Cię,eu te amo,ਮੈਂ ਤੁਹਾਨੂੰ ਪਿਆਰ ਕਰਦਾ ਹਾਂ,te iubesc,я люблю тебя,oute alofa ia oe,tha gaol agam ort,Волим те,kea u rata,Ndinokuda,مون کي تو سان پيار آهي,මම ඔයාට ආදරෙයි,Ľúbim ťa,Ljubim te,waan ku jeclahay,te amo,abdi bogoh ka anjeun,nakupenda,jag älskar dig,Ман туро дӯст медорам,நான் உன்னை காதலிக்கிறேன்,мин сине яратам,నేను నిన్ను ప్రేమిస్తున్నాను,ผมรักคุณ,seni seviyorum,men seni söýýärin,я тебе люблю,میں تم سے پیار کرتا ہوں,مەن سىزنى ياخشى كۆرىمەن,Men seni Sevaman,Anh yêu em,Rwy'n dy garu di,Ndiyakuthandana,איך האב דיר ליב,mo nifẹ rẹ,Ngiyakuthanda
I miss you,Ek mis jou,më Mungon,ናፈኩሽ,أنا مشتاق لك,Կարոտել եմ քեզ,sənin üçün darıxıram,Faltan botatzen zaitut,я сумую па табе,আমার আপনাকে মনে পরছে,Nedostaješ mi,липсваш ми,Et trobo a faltar,gimingaw ko nimo,ndakusowa,我想你,我想你,mi manchi,Nedostaješ mi,chybíš mi,jeg savner dig,ik mis je,vi mankas al mi,ma igatsen sind,Miss na kita,Kaipaan sinua,Tu me manques,ik mis dy,Extráñote,მენატრები,ich vermisse dich,μου λείπεις,હું તમને યાદ કરું છું,ou manke m,I miss you,haʻi wau iā 'oe,אני מתגעגע אליך,मुझे आपकी याद आती है,Kuv nco koj,hiányzol,ég sakna þín,a na m atụ ụche gị,aku merindukanmu,airím uaim thú,mi manchi,あなたがいなくて寂しいです,aku kangen kowe,ನಾನು ವಿವೇಕಾನಂದ,мен сені сағындым,ខ្ញុំ​នឹក​អ្នក,ndagukumbuye,난 당신이 그리워요,ez bîra te dikim,Мен сени сагындым,ຂ້ອຍ​ຄິດ​ຮອດ​ເຈົ້າ,te desidero,man tevis pietrūkst,aš tavęs pasiilgau,ech vermëssen dech,ми недостигаш,malahelo anao aho,saya rindu awak,ഞാന് നിങ്ങളെ വല്ലാതെ നഷ്ടപ്പെടുന്ന പോലെ,nimmissjak,mahue ahau a koutou,मला तुझी आठवण येते,Би чамайг санаж байна,ကိုယ်မင်းကိုလွမ်းတယ်,म तपाईंलाई सम्झना,Jeg savner deg,ମୁଁ ତୁମକୁ ମନେ ପକାଏ,زما یادېږی,دلم برات تنگ شده,tęsknię za Tobą,Eu sinto sua falta,ਮੈਨੂੰ ਤੁਸੀ ਯਾਦ ਆਉਂਦੋ ਹੋ,Mi e dor de tine,я скучаю по тебе,ua ou misia oe,tha mi gad ionndrainn,Недостајеш ми,ke u hopotse,ndinokusuwa,مونکي ياد ٿا اچو,මට ඔයාව දැනෙනවා,chýbaš mi,pogrešam te,Waan kuu xiisay,Te echo de menos,abdi sono ka anjeun,ninakukosa rohoni,jag saknar dig,ман туро пазмон шудам,நான் நீங்கள் தவற,сагынам сине,నేను నిన్ను మిస్ అవుతున్నాను,ฉันคิดถึงคุณ,seni özledim,Seni göresim gelýär,я сумую за тобою,میں تمہیں یاد کرتا,سېنى سېغىندىم,sizni sog'indim,Tôi nhớ bạn,Dwi yn methu ti,ndiyakukhumbula,איך בענק זיך נאָך דיר,Aro re so mi,ngikukhumbulile
Merry Christmas,Geseënde Kersfees,Gëzuar Krishtlindjet,መልካም ገና,عيد ميلاد سعيد,Շնորհավոր Սուրբ Ծնունդ,Milad bayramınız mübarək,Eguberri on,З Калядамі,শুভ বড়দিন,sretan božić,Весела Коледа,Bon Nadal,maayong Pasko,Khrisimasi yabwino,圣诞节快乐,聖誕節快樂,bon Natale,sretan Božić,veselé Vánoce,glædelig jul,vrolijk kerstfeest,feliĉan Kristnaskon,häid jõule,Maligayang Pasko,hyvää joulua,joyeux Noël,noflike krystdagen,feliz Nadal,შობას გილოცავთ,Fröhliche Weihnachten,καλά Χριστούγεννα,મેરી ક્રિસમસ,Jwaye Nwel,Merry Kirsimeti,mele Kalikimaka,חג מולד שמח,क्रिसमस की बधाई,Zoo siab heev Christmas,boldog Karácsonyt,Gleðileg jól,ezi ekeresimesi,Selamat Natal,Nollaig Shona,buon Natale,メリークリスマス,Merry Christmas,ಮೆರ್ರಿ ಕ್ರಿಸ್ಮಸ್,Рождество құтты болсын,រីករាយ​ថ្ងៃ​បុណ្យ​ណូអែល,Noheri nziza,메리 크리스마스,Kirîstmas piroz be,Рождество майрамы менен,Merry ວັນຄຣິດສະມາດ,felicem natalem Christi,Priecīgus Ziemassvētkus,linksmų Kalėdų,Schéi Chrëschtdeeg,среќен Божиќ,tratry ny krismasy,Selamat Hari Natal,സന്തോഷകരമായ ക്രിസ്മസ്,il-Milied it-tajjeb,Merry Christmas,मेरी ख्रिसमस,Merry Christmas,ပျော်ရွှင်သောခရစ္စမတ်ဖြစ်ပါစေ,प्रमुदित क्रिसमस,god jul,ବଡ଼ ଦିନର ହାର୍ଦିକ ଅଭିନନ୍ଦନ,کرسمس مو مبارک,کریسمس مبارک,Wesołych Świąt,feliz Natal,ਮੇਰੀ ਕਰਿਸਮਸ,Craciun Fericit,счастливого Рождества,manuia le Kirisimasi,Nollaig Chridheil,срећан Божић,kereseme e monate,Kisimusi yakanaka,ميري ڪرسمس,සුබ නත්තලක්,veselé Vianoce,vesel božič,yuul,Feliz Navidad,Wilujeng Natal,Krismasi Njema,god Jul,мавлуди Исо муборак,மெர்ரி கிறிஸ்துமஸ்,Раштуа белән,క్రిస్మస్ శుభాకాంక్షలు,สุขสันต์วันคริสต์มาส,mutlu Noeller,Täze ýyl gutly bolsun,щасливого Різдва,میری کرسمس,روژدېستۋو بايرىمىڭىزغا مۇبارەك بولسۇن,Rojdestvo bilan,Giáng sinh vui vẻ,Nadolig Llawen,Ikrismesi emnandi,לעבעדיק ניטל,ikini ọdun keresimesi,Jabulela Ukhisimusi
Thank you,Dankie,Faleminderit,አመሰግናለሁ,شكرا,Շնորհակալություն,Çox sağ ol,Eskerrik asko,Дзякуй,ধন্যবাদ,Hvala ti,Благодаря,Gràcies,Salamat,Zikomo,谢谢,謝謝,Grazie,Hvala ti,Děkuji,Tak,Dank je,Dankon,Aitäh,Salamat,Kiitos,Je vous remercie,Dankewol,Grazas,გმადლობთ,Vielen Dank,Ευχαριστώ,આભાર,Mèsi,na gode,Mahalo,תודה,धन्यवाद,Ua tsaug rau koj,Köszönöm,Þakka þér fyrir,Daalụ,Terima kasih,Go raibh maith agat,Grazie,ありがとうございました,Matur nuwun,ಧನ್ಯವಾದ,Рақмет сізге,អរគុណ,Murakoze,고맙습니다,Spas dikim,Рахмат сага,ຂອບ​ໃຈ,Gratias tibi,Paldies,Ačiū,Merci,Ти благодарам,Misaotra anao,Terima kasih,നന്ദി,Grazzi,Mauruuru koe,धन्यवाद,Баярлалаа,ကျေးဇူးတင်ပါတယ်,धन्यवाद,Takk skal du ha,ଧନ୍ୟବାଦ,مننه,متشکرم,Dziękuję Ci,Obrigado,ਤੁਹਾਡਾ ਧੰਨਵਾਦ,Mulțumesc,спасибо,faafetai,Tapadh leat,Хвала вам,kea leboha,Ndatenda,توهان جي مهرباني,ඔබට ස්තුතියි,Ďakujem,Hvala vam,Mahadsanid,Gracias,hatur nuhun,Asante,Tack,сипос,நன்றி,Рәхмәт,ధన్యవాదాలు,ขอขอบคุณ,teşekkür ederim,Sagbol,Дякую,آپ کا شکریہ,رەھمەت سىزگە,rahmat,Cảm ơn bạn,Diolch,Enkosi,אדאנק,e dupe,Ngiyabonga
baby,baba,bebe,ሕፃን,طفل,երեխա,körpə,haurra,дзіця,বাচ্চা,beba,бебе,nadó,bata,mwana,宝宝,寶寶,ciucciu,dijete,dítě,baby,baby,bebo,laps,sanggol,vauva,bébé,poppe,bebé,ბავშვი,Baby,μωρό,બાળક,ti bebe,baby,pēpē,תִינוֹק,बच्चा,tus me nyuam,baba,Elskan,nwa,bayi,leanbh,bambino,赤ちゃん,baby,ಬೇಬಿ,нәресте,ទារក,umwana,아가,bebek,бала,ເດັກນ້ອຍ,infans,mazulis,kūdikis,Puppelchen,бебе,zazakely,bayi,ശിശു,tarbija,tamaiti,बाळ,хүүхэд,ကလေး,बच्चा,baby,ଶିଶୁ,ماشوم,عزیزم,dziecko,bebê,ਬੇਬੀ,bebelus,детка,pepe,pàisde,беба,lesea,mucheche,ٻار,ළදරු,dieťa,dojenček,ilmaha,bebé,orok,mtoto,bebis,кӯдак,குழந்தை,сабый,బేబీ,ทารก,bebek,çaga,дитина,بچه,بوۋاق,chaqaloq,đứa bé,babi,umntwana,בייבי,baby,ingane
bear,dra,duroj,ድብ,يتحمل,կրել,ayı,bear,несці,ভালুক,snositi,мечка,suportar,-an,kudzachitira,熊,熊,orsu,snositi,medvěd,bjørn,beer,toleri,kandma,madala,karhu,ours,bear,soportar,დათვი,Bär,αρκούδα,રીંછ,pote,kai,pea,דוב,भालू,dais,medve,Bera,ibu,beruang,iompróidh,orso,くま,metokake,ಹೊರಲು,аю,ទទួលនៅ,idubu,곰,hirç,аюу,ຮັບຜິດຊອບ,Ursa,paciest,turėti,droen,носат,hitondra,menanggung,കരടി,iġorru,mau,सहन,үүрэх,ဝက်ဝံ,सहन,Bjørn,ଭାଲୁ,بیرغ,خرس,Niedźwiedź,Urso,ਰਿੱਛ,urs,медведь,urosa,mathan,медвед,jara,bere,برداشت ڪرڻ,වලහා,medveď,nosi,dhali,oso,biruang,kubeba,Björn,ба зимма,தாங்க,аю,భరించలేదని,หมี,ayı,aýy,нести,برداشت,ئېيىق,ayiq,chịu,arth,ibhere,בער,rù,athwale
